Constraints,Affine Map,PEG LDPC,Dense Parity,Sparse Parity
0,86.78681913297623,86.7867347400386,86.7867347400386,86.7867347400386
1,86.77076166728511,86.7867347400386,86.7867347400386,86.77084690289692
2,85.99904760112986,86.05750604108736,86.10447877698445,86.06119017723617
3,85.37269660644233,86.06119017723617,85.99902037972532,86.06119017723617
4,83.17621985264122,85.6918555283199,85.43972246063707,86.05750604108736
5,81.77202668692917,85.38123679927502,85.49843838050842,85.16249121544058
6,81.58751679910347,85.38123679927502,84.9665412240268,84.8481883502469
7,79.77961739944294,83.648541516797,84.27806828122158,81.74545493743743
8,80.88850364368409,83.33216632501961,80.96487859091243,81.21977476070688
9,78.90711693931371,78.95103766857984,82.89076076269266,80.52278225305757
10,79.69359467225149,77.90174964170245,80.45877038747234,21.24537700678281
11,80.40374719165266,77.80573184332461,78.56443363146614,11.48124189409063
12,78.03753111558035,75.55334310535783,4.620252118347202,7.826901196403501
13,77.62650249665603,78.18634915919652,71.002974444583,4.1800208744176715
14,76.42545672180131,78.84534901281143,14.71542988985914,0.7887274977541805
15,73.52755414694548,76.17412004642902,-1.8200231247149117,0.8039567955592432
16,76.61289267521352,77.8879341311445,0.14272619750625454,4.058237148849216
17,71.86049242597073,76.5324022868989,-1.3974342877679007,-1.5621197787890206
18,73.88479475677013,75.50038364821897,2.0890502592250573,2.7892364523983373
19,72.43450064118952,76.07971405761626,0.8495571907408972,9.160512430563791
20,71.9087871061638,75.8358702962682,6.577909964410741,1.287082897186161
21,71.08603895967826,73.07668257933344,1.2226496585289084,-1.4991647997614703
22,68.49296019645408,72.80106314370205,-1.0310814865470828,0.7365992738338882
23,68.4260666333139,71.84387852054442,2.5208701598098813,-5.177385607448042
24,66.62772641936317,68.63868007109672,0.11228141740668726,4.11057490801297
25,67.26203263644129,69.86181327249514,2.0653336327672185,-4.955623637141786
26,66.54277427261695,69.92697643062688,2.3749783683177785,4.3079525021844205
27,63.96279497514479,68.86847806337751,0.6001066346913873,2.438690897840924
28,63.54802254517563,67.81136124718395,-4.587624487579477,0.2960940222782904
29,65.18363129347563,68.15767004517025,0.6850927478887046,6.046081885481906
30,63.7753319661133,67.15397320313416,1.7253454308611824,6.330151808404581
31,63.14937783731148,67.10907279382077,4.411223443605203,-3.7914596399749256
32,62.730250370688736,64.88063094082112,7.144184716330766,1.311771214553243
33,62.163039047736675,60.55407355108532,-1.2890792384617866,6.317303383585674
34,61.88847137847915,60.95541413279418,3.147564744570071,-5.116090792272541
35,58.242884430103004,60.01688044888981,-5.7229140676801915,2.580967630737026
36,59.444803724996746,60.74449733827593,-4.496165807685754,-1.4442251194426323
37,58.349794048117474,54.54455671688016,4.422575188113664,-3.3244953831157336
