Timeout,Affine Map 30 sec (i=50), Sparse Parity (i=50), Dense (i=50), Affine Map 30 sec (i=20), Sparse Parity (i=20), Dense (i=20)
30,50.58664588956162,-6.2079996692212465,2.220497934428808,73.5182827976532,-3.6028548950077837,-1.0285647610404403
120,50.58664588956162,-6.2079996692212465,2.220497934428808,73.5182827976532,1.4935718205705877,22.633490430094273
240,50.58664588956162,-6.2079996692212465,2.220497934428808,73.5182827976532,35.92343594058266,36.5058748398555
360,50.58664588956162,-6.2079996692212465,2.220497934428808,73.5182827976532,53.083566475375434,52.56732689752617
480,50.58664588956162,-6.2079996692212465,2.220497934428808,73.5182827976532,53.083566475375434,59.04703160772071
600,50.58664588956162,-6.2079996692212465,2.220497934428808,73.5182827976532,53.083566475375434,59.04703160772071
